id,menu_cat_id,combo_id,combo_qty,combo_item_id,combo_item_name,combo_item_code,combo_item_qty,update_qty,unit_price,top_up,old_unit_price,is_default,is_delete,brand_id
337,14,999010,1,999010030,"S1 Chicken Masala",S1,1,0,4.58,0.00,0.00,0,0,9
338,14,999067,1,999067550,"F26 Hat Yai Fried Chicken",F26,1,0,8.36,0.00,8.36,0,1,1
338,15,999023,0,999023319,"ADD015 Grass Jelly",ADD015,0,0,1.00,1.00,0.00,0,0,2
338,13,999010,1,999010084,"F1 Squid Ring",F1,1,0,6.04,0.00,0.00,0,0,9
339,1,999067,6,999067056,"N03 P. Chick Thai Rice Noodle",N03,6,0,1.73,0.00,1.73,0,1,1
339,15,999023,0,999023131,"ADD04 ADD Milk Cotta",ADD04,0,0,1.00,1.00,0.00,0,0,2
339,21,999010,2,999010015,"BO14 Sirap Ice",BO14,2,0,1.77,0.00,0.00,0,0,9
340,1,999067,6,999067095,"N15 T. Chick Thai Rice Noodle",N15,6,0,1.73,0.00,1.73,0,0,1
340,15,999023,0,999023132,"ADD05 ADD Mango Cotta",ADD05,0,0,1.00,1.00,0.00,0,0,2
340,21,999010,2,999010096,"BL01 Lassi Original",BL01,2,0,1.77,2.00,0.00,0,0,9
341,2,999068,1,999068063,"R02 Kra Pow Chicken Rice",R02,1,0,11.36,0.00,11.36,0,0,1
341,15,999023,0,999023133,"ADD06 ADD Coffee Jelly",ADD06,0,0,1.00,1.00,0.00,0,0,2
341,21,999010,2,999010097,"BL02 Lassi Mango",BL02,2,0,1.77,2.00,0.00,0,0,9
342,14,999068,1,999068080,"F17 Fried Som Tam",F17,1,0,8.36,0.00,8.36,0,0,1
342,15,999023,0,999023135,"ADD08 ADD Oreo Crumb",ADD08,0,0,1.00,1.00,0.00,0,0,2
342,21,999010,2,999010098,"BL03 Lassi Strawberry",BL03,2,0,1.77,2.00,0.00,0,0,9
343,15,999068,1,999068085,"F19 Thai Fried Chicken",F19,1,0,11.37,0.00,11.37,0,0,1
343,15,999023,0,999023316,"ADD01 Whipped Cream",ADD01,0,0,1.00,1.00,0.00,0,0,2
343,21,999010,2,999010099,"BL04 Lassi Soursop",BL04,2,0,1.77,2.00,0.00,0,0,9
344,1,999068,6,999068056,"N03 P. Chick Thai Rice Noodle",N03,6,0,1.77,0.00,1.77,0,0,1
344,15,999023,0,999023130,"ADD03 ADD Salted Caramel Shot",ADD03,0,0,1.00,1.00,0.00,0,0,2
344,12,999011,4,999011020,"M1 Banana Leaf Set",M1,4,0,8.54,0.00,0.00,0,0,9
345,1,999068,6,999068095,"N15 T. Chick Thai Rice Noodle",N15,6,0,1.77,0.00,1.77,0,0,1
345,15,999023,0,999023129,"ADD02 ADD Espresso Shot",ADD02,0,0,1.00,1.00,0.00,0,0,2
345,14,999011,1,999011053,"S14 Mutton Paratel",S14,1,0,6.55,0.00,0.00,0,0,9
346,2,999069,1,999069063,"R02 Kra Pow Chicken Rice",R02,1,0,11.27,0.00,11.27,0,0,1
346,55,999024,1,999024387,Small,SSS01,1,0,8.90,0.00,0.00,0,0,2
346,16,999011,1,999011030,"S1 Chicken Masala",S1,1,0,4.96,0.00,0.00,0,0,9
347,13,999069,1,999069083,"R07 Kaw Pad Super",R07,1,0,11.91,0.00,11.91,0,0,1
347,55,999024,1,999024388,Regular,SSS02,1,0,9.90,1.00,0.00,0,0,2
347,13,999011,1,999011084,"F1 Squid Ring",F1,1,0,6.55,0.00,0.00,0,0,9
348,3,999069,1,999069045,"F03 Grill Chicken Meat Ball",F03,1,0,4.17,0.00,4.17,0,0,1
348,55,999024,1,999024389,Premium,SSS03,1,0,10.90,2.00,0.00,0,0,2
348,21,999011,4,999011015,"BO14 Sirap Ice",BO14,4,0,1.92,0.00,0.00,0,0,9
349,14,999069,1,999069048,"F08 Thai Popeye's Tempura",F08,1,0,6.37,0.00,6.37,0,0,1
349,15,999024,0,999024381,"ADD013 Red Bean",ADD013,0,0,1.00,1.00,0.00,0,0,2
349,21,999011,4,999011096,"BL01 Lassi Original",BL01,4,0,3.92,2.00,0.00,0,0,9
350,15,999069,1,999069052,"F12 Sangkaya Steamed Bread",F12,1,0,6.37,0.00,6.37,0,0,1
350,15,999024,0,999024380,"ADD014 Black Pearl",ADD014,0,0,1.00,1.00,0.00,0,0,2
350,21,999011,4,999011097,"BL02 Lassi Mango",BL02,4,0,3.92,2.00,0.00,0,0,9
351,16,999069,1,999069085,"F19 Thai Fried Chicken",F19,1,0,11.28,0.00,11.28,0,0,1
351,15,999024,0,999024319,"ADD015 Grass Jelly",ADD015,0,0,1.00,1.00,0.00,0,0,2
351,21,999011,4,999011098,"BL03 Lassi Strawberry",BL03,4,0,3.92,2.00,0.00,0,0,9
352,1,999069,10,999069056,"N03 P. Chick Thai Rice Noodle",N03,10,0,1.77,0.00,1.77,0,0,1
352,15,999024,0,999024131,"ADD04 ADD Milk Cotta",ADD04,0,0,1.00,1.00,0.00,0,0,2
352,21,999011,4,999011099,"BL04 Lassi Soursop",BL04,4,0,3.92,2.00,0.00,0,0,9
353,1,999069,10,999069095,"N15 T. Chick Thai Rice Noodle",N15,10,0,1.77,0.00,1.77,0,0,1
353,15,999024,0,999024132,"ADD05 ADD Mango Cotta",ADD05,0,0,1.00,1.00,0.00,0,0,2
353,21,999011,4,999011001,"BT10 Teh-tarik Lawa HOT",BT10,4,0,3.92,2.00,0.00,0,0,9
354,10,999069,2,999069369,"A01 Fried Wanton Skin ",A01,2,0,1.77,0.00,1.77,0,0,1
354,15,999024,0,999024133,"ADD06 ADD Coffee Jelly",ADD06,0,0,1.00,1.00,0.00,0,0,2
